[ Model
, Type of device
, Brand
, Release year
, Operating System
, OS version
, Kernel
, UI and version
, Comment
],
 | Smartphone, | Samsung, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Samsung, | 2008, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Sendo, | , | Symbian OS, | 6.1, | , | S60 1st Edition Feature Pack 1 version 1.2, | ,
 | Smartphone, | Sendo, | , | Symbian OS, | 6.1, | , | S60 1st Edition Feature Pack 1 version 1.2, | ''canceled'' because [[Sendo]] went into administration,
 | Feature phone, | Sharp, | , | Symbian^2, | 9.5, | EKA2, | MOAP(S), | ,
 | Smartphone, | Siemens, | , | Symbian OS, | 6.1, | , | S60 1st Edition Feature Pack 1 version 1.2, | ,
 | Smartphone, | Sony Ericsson, | , | Symbian OS, | 9.1, | , | UIQ 3.0, | ,
 | Smartphone, | Sony Ericsson, | , | Symbian OS, | 9.1, | , | UIQ 3.0, | ,
 | Smartphone, | Sony Ericsson, | , | Symbian OS, | 9.1, | , | UIQ 3.0, | ,
 | Smartphone, | Sony Ericsson, | , | Symbian OS, | 9.1, | , | UIQ 3.0, | ,
 | Smartphone, | Sony Ericsson, | , | Symbian OS, | 7.0, | , | [[UIQ]] 2.0, | First model with UIQ 2.0,
 | Smartphone, | Sony Ericsson, | , | Symbian OS, | 7.0, | , | UIQ 2.1, | ,
 | Smartphone, | Sony Ericsson, | , | Symbian OS, | 7.0, | , | UIQ 2.1, | ,
 | Smartphone, | Sony Ericsson, | , | Symbian OS, | 9.1, | , | UIQ 3.0, | First model with UIQ 3.0,
 | Smartphone, | Sony Ericsson, | , | Symbian OS, | 9.1, | , | UIQ 3.0, | ,
 | Smartphone, | Sony Ericsson, | , | Symbian OS, | 9.1, | , | UIQ 3.0, | ,
 | Smartphone, | Sony Ericsson, | , | Symbian OS, | 9.1, | , | UIQ 3.0, | ,
 | Smartphone, | Sony Ericsson, | , | Symbian^1, | 9.4, | EKA2, | S60 5th Edition version 5, | ,
 | Smartphone, | Sony Ericsson, | , | Symbian^1, | 9.4, | EKA2, | S60 5th Edition version 5, | ,
 | Smartphone, | Sony Ericsson, | , | Symbian^1, | 9.4, | EKA2, | S60 5th Edition version 5, | ,
,
