Vehicle,Origin,Manufacturer,Mass to ... (kg),,,Launches (+ suborbital),Date of flight,
,,,Low Earth orbit,Geostationary transfer orbit,List of orbits,,First,Last
Geosynchronous Satellite Launch Vehicle,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,ISRO," 5,000[51] "," 1,540[230] ",,1[230],2001,2001
Geosynchronous Satellite Launch Vehicle,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,ISRO," 5,000[51] "," 2,150[230] ",,4[230],2003,2007
Geosynchronous Satellite Launch Vehicle,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Indian Space Research Organisation," 5,000[51] ",,,1[230],2010,2010
H-I,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan //upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries," 1,400[231] ",,,9,1986,1992
H-II / IIS,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries," 10,060[232] "," 4,000[233] ",,7[233],1994,1999
H-IIA 2022,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries,," 4,500[58] ",,3[58],2005,2007
H-IIA 2024,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries," 11,000[234] "," 5,000[58] ",,7[58],2002,2008
H-IIB,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries," 16,500 (ISS)ISS "," 8,000 ",,8[235],2009,2020
J-I,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Nissan MotorsNissan Motors," 1,000[237] ",,,0 (+1),1996,1996
Kaituozhe-1,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology,100[238],,,2,2002,2003
Kosmos-3M,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union //upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,NPO Polyot," 1,500[239] ",,,442[240],1967,2010
Lambda 4S,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Nissan MotorsNissan Motors,26[241],,,5,1966,1970
Long March 1,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology,300[242],,,2[243],1970,1971
Long March 1D,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology,740[244],,,0 (+3)[243],1995[e],2002
Long March 2A,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 2,000[245] ",,,4[75],1974,1978
Long March 2E,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 9,200[75] ",,,7[75],1990,1995
Long March 3,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 5,000[77] ",,,13[77],1984,2000
Long March 3B,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 11,200[76] "," 5,100 "," 5,700 to SSO ",12[77],1996,2012
Long March 4A,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 4,000 ",,,2[78],1988,1990
M-V,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Nissan MotorsNissan Motors (1997–2000) Nissan MotorsNissan Motors (2000–2006)," 1,850[241] ",,,7,1997,2006
Molniya (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia," 1,800[246] ",,,40[247],1960,1967
Molniya-M,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union //upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia," 2,400[248] ",,,280[249],1965,2010
Mu (rocket family),//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Nissan MotorsNissan Motors,195[241],,,4,1974,1979
Mu (rocket family),//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Nissan MotorsNissan Motors,300[241],,,3,1977,1978
Mu (rocket family),//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Nissan MotorsNissan Motors,300[241],,,4,1980,1984
Mu (rocket family),//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Nissan MotorsNissan Motors,770[241],,,8,1985,1995
Mu (rocket family),//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Nissan MotorsNissan Motors,180[241],,,4,1971,1972
N1 (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,NPO Energia," 95,000[250][251][252][f] ",,,4[253] (never reached orbit),1969,1972
N-I (rocket),//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan //upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries," 1,200[254] ",,,7,1975,1982
N-II (rocket),//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan //upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries," 2,000[255] ",,,8,1981,1987
Naro-1,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/23px-Flag_of_South_Korea.svg.png South Korea //upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/23px-Flag_of_South_Korea.svg.png South Korea,KARI/KARI,100[256],,,3,2009,2013
NOTS-EV-1 Pilot,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United States Navy,1.05[257],,,10,1958,1958
Taepodong-1,//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/23px-Flag_of_North_Korea.svg.png North Korea,Korean Committee of Space Technology,700[258],,,0 (+1),1998,1998
Polyot (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia," 1,400 ",,,2,1963,1964
Proton-K,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union //upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,Khrunichev State Research and Production Space Center," 19,760[259] "," 4,930[260] ",,311[261],1965,2012
PSLV-G,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Indian Space Research Organisation," 3,200[123] "," 1,050 "," 1,600 to SSO ",12[123],1993,2016[262]
Rokot,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,Khrunichev State Research and Production Space Center," 1,950[263] ",," 1,200 to SSO ",34[263],1990,2019
Saturn I,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Chrysler (S-I) Chrysler (Chrysler)," 9,000[264] ",,,10[265],1961,1965[265]
Saturn IB,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Chrysler (Chrysler) Chrysler (Chrysler)," 18,600[266] ",,,9[267],1966,1975
Saturn V,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Boeing (Boeing) Boeing (Boeing) Boeing (Boeing)," 140,000[268][269] ",," 47,000 to TLI[270] ",13[271][272][g],1967,1973
Scout (rocket family),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,US Air Force/US Air Force,174[273],,,125,1961,1994
Shtil',//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,Makeyev Rocket Design Bureau,280–420[274],,,2[275],1998,2006
