ACER
EMTEC,GdiumGdiumGdiumGdium,1.2,2.64,10,1024x600 Wide VGA,118,MIPS architecture MIPS architecture 2FMIPS architecture,0.9,,?,VGA,G-Key removable USB flash drive Flash,16,0.5,,?,?,?,?,Mandriva G-Linux,None (not x86 based),
EVEREX
Everex,CloudBook,0.91,2.00,7,800×480   WVGA,133,VIA C7 ULV,1.2,,UniChrome Pro IGP,DVI-I,Hard disk drive,30,0.5,?,?,?,?,,GOS Rocket,?,
GATEWAY
Manufacturer,Model,Weight [Kilogram],Weight [Pound (weight)]," Viewable image size "" ",Display resolution,Display DPI [Note 1],Central processing unit,Speed [GHz],HSDPA,Video chipset,Video connection(s),Computer data storage,Storage [Gigabyte],Random-access memory [Random-access memory],Battery life [Hour] (low end),Battery life [Hour] (high end),Keyboard (computing) in % Keyboard (computing),Video Camera,Mouse (computing) layout,Linux/Linux Linux choice(s),Microsoft Windows Microsoft Windows choice(s),Manual / DataSheet
" Gateway, Inc. "," LT2001u (page does not exist), LT2001u (page does not exist) ",1.18,2.62,10.1,1024×600,117,Intel Atom,1.6,?,?,Video Graphics Array,Hard disk drive,160,1,(3-Cell Li),(3-Cell Li),?,0.3,Touchpad with 1 button below,N/A,Windows XP,
" Gateway, Inc. "," LT3103u, LT3114u ",1.38,3.04,11.6,1366×768,135,Athlon 64,1.2,,Radeon,Video Graphics Array,HDD,250,2,5 (6-cell Li),5 (6-cell Li),,0.3,Touchpad with 1-button below,N/A,Vista Home Basic,
GIGABYTE
Gigabyte Technology,Gigabyte M912Gigabyte M912,1.3,2.86,8.9,1280x768   WXGA Touchscreen,167,Intel Atom,1.6,,?,None,Hard disk drive," 120, 160, 250 "," 1, 2 ",?,?,?,?,,Ubuntu (operating system),Windows XP,
Gigabyte,Gigabyte M912X (page does not exist)Gigabyte M912X (page does not exist),1.35,2.97,8.9,1280×768,167,Intel Atom,1.6,,?,VGA,Hard disk drive,80,1,?,?,?,?,,?,Windows XP,
Hillman,IA1001,1.26,2.77,10.2,1024x600,116,Intel Atom,1.6,,Intel GMA,,Hard disk drive,160,1,2 (3-cell),,,1.3 Pixel,Touchpad 2-buttons below,Linux,,
HP
Hewlett-Packard,HP 2133 Mini-Note PC,1.27,2.79,8.9,1280×800   WXGA Glossy display,169,VIA C7,1–1.6,,?,VGA," Solid-state drive, Solid-state drive "," 4, 120, 160 ",0.5–2,2 (3-cell),4 (6-cell),92%,?,,Suse Enterprise," Windows XP, Windows XP ",
Hewlett-Packard,HP Mini 2140,1.19,2.62,10.1,1024x576 1366x768,116 155,Intel Atom,1.6,,Intel GMA,?," Solid-state drive, Solid-state drive "," 80, 160 ",1-2,4 (3-cell),8 (6-cell),92%,?,Touchpad buttons on each side,Suse Enterprise," Windows Vista, Windows Vista ",
