Vehicle,Origin,Manufacturer,Payload mass to ... (kg),,,Launches[note 5],Date of flight,
,,,Low Earth orbit,Geostationary transfer orbit,Other,,First[note 6],Latest
PSLV-XL,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Indian Space Research Organisation," 3,800[124] "," 1,300 "," 1,750 to SSO 1,350 to Mars Orbiter MissionMars Orbiter Mission ",21[124],2008,2019
Rokot,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,Khrunichev State Research and Production Space Center," 1,950[126] ",," 1,200 to SSO ",33[126],1990,2019[127]
Safir (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/23px-Flag_of_Iran.svg.png Iran,Iranian Space Agency,65[128],,,7[128][note 23],2008,2019
Shavit,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/21px-Flag_of_Israel.svg.png Israel,Israel Aerospace Industries,300[129],,,10[130],1988,2016
Simorgh (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/23px-Flag_of_Iran.svg.png Iran,Iranian Space Agency,350[131],,,2[131][note 24],2017,2019
Soyuz-2.1a,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,TsSKB-Progress," 7,020 from Baikonur CosmodromeBaikonur Cosmodrome ",,,33[133][134][135],2006[note 25],2019
Soyuz-2.1b,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,TsSKB-Progress," 8,200 from Baikonur CosmodromeBaikonur Cosmodrome "," 2,400[136] ",,32[134][137],2006,2019
Soyuz ST-A,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia   //upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,TsSKB-Progress   TsSKB-Progress," 7,800 from Guiana Space CentreGuiana Space Centre "," 2,810 with FregatFregat ",,6[134],2011,2018
Soyuz ST-B,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia   //upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,TsSKB-Progress   TsSKB-Progress," 9,000 from Guiana Space CentreGuiana Space Centre "," 3,250 with FregatFregat "," 4,400 to SSO[141] ",16[134],2011,2019
Soyuz-2-1v,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,TsSKB-Progress," 2,800[142] ",," 1,400 to SSO ",5[142],2013,2019
Soyuz-5 (rocket),//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,TsSKB-Progress TsSKB-Progress," 18,000[143] ",," 2,500 to GEO ",0,2022[144][145],
Space Launch System Block 1Space Launch System,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,NASA / NASA (core)   NASA (NASA)," 95,000[146] ",," 26,000 to TLI[146] ",0,2021[147],
Space Launch SystemSpace Launch System,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,NASA / NASA   NASA," 105,000[148] ",," 37,000 to TLI[146] ",0,2024[149],
Space Launch SystemSpace Launch System,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,NASA / NASA   NASA," 130,000[150] ",," 45,000 to HCO[146] ",0,late 2020s (TBD),
SS-520,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,IHI Aerospace,4[151],,,2[152],2017[153][note 29],2018
Small Satellite Launch Vehicle,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Indian Space Research Organisation,500[154],,300 to SSO,0,2020[155],
SpaceX StarshipSpaceX Starship  (reusable),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX," 100,000+[156] "," 100,000+[156] ",,,TBA,
Terran 1,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Relativity Space," 1,250[157] ",,900 to SSO,0,2021[158],
Unha,//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/23px-Flag_of_North_Korea.svg.png North Korea,Korean Committee of Space Technology,100[159],,,4[160],2009[note 30],2016
Vega (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,European Space Agency / European Space Agency," 1,500[note 31][161] ",," 1,330 to SSO[162] ",15[163],2012,2019
Vega (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,European Space Agency / European Space Agency," 2,200[note 31][164] ",,,0,2020[165],
Vega (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,European Space Agency / European Space Agency," 3,000[note 31][166] ",,,0,2024[167],
Vikram l[168],//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Skyroot aerospace[169],280,,200 to SSPO,0,2021[170],
Vikram ll[168],//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Skyroot aerospace,520,,410 to SSPO,0,TBA,
Vikram lll[168],//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Skyroot aerospace,720,,580 to SSPO,0,TBA,
